AnimalName,BirthDate,Gender,SpeciesName,EnclosureName
Simba,2024-07-02,F,Wolf,Bird House
Nala,2023-01-30,F,Giraffe,Forest Habitat
ShereKhan,2024-04-20,F,Lion,Savanna Zone
Dumbo,2018-03-20,M,Penguin,Reptile Center
Melman,2017-07-06,F,Penguin,Elephant Area
Marty,2025-12-23,F,Tiger,Monkey Island
Skipper,2025-07-10,M,Kangaroo,Reptile Center
Kowalski,2020-09-19,M,Bear,Elephant Area
Gloria,2025-10-10,F,Wolf,Reptile Center
KingJulien,2024-05-16,M,Kangaroo,Bird House
Baloo,2025-02-21,F,Lion,Bird House
Akela,2026-03-11,M,Tiger,Bird House
Shenzi,2021-07-23,F,Monkey,Reptile Center
Banzai,2020-06-16,M,Elephant,Monkey Island
Rafiki,2023-04-22,M,Zebra,Elephant Area
Bagheera,2018-04-22,F,Wolf,Bird House
Mowgli,2023-08-26,M,Monkey,Reptile Center
Bambi,2019-01-16,M,Penguin,Big Cats Zone
Stitch,2019-06-23,M,Penguin,Arctic Habitat
Bolt,2018-11-09,F,Giraffe,Monkey Island
Rocky,2018-01-28,F,Monkey,Forest Habitat
Apollo,2024-10-29,F,Elephant,Bird House
Zeus,2023-01-07,F,Kangaroo,Arctic Habitat
Athena,2018-01-09,F,Penguin,Bird House
Hera,2026-02-17,M,Tiger,Big Cats Zone
Thor,2025-05-10,F,Elephant,Savanna Zone
Loki,2020-10-15,F,Kangaroo,Elephant Area
Freya,2022-05-29,F,Kangaroo,Forest Habitat
Odin,2024-02-07,M,Wolf,Big Cats Zone
Nova,2025-02-03,F,Wolf,Reptile Center
